,id,name,location,description,slug,sponsored,website,global_rank,financials,student_loan_available,campus_student_life,number_of_students,student_to_faculty_ratio,international_student_ratio,housing_availability,admissions_contact,admissions_phone,contact_person,admissions_page_link,immigration_support,university_campuses
1,453,American University of Vietnam,704,"The American University of Vietnam (AUV) is a four-year degree-granting institution offering American-style higher education in Da Nang City, Vietnam. Founded in 2011, it provides a liberal arts education with a curriculum based on the American model, aiming to prepare students for advanced studies or careers in the US and globally.",american-university-of-vietnam,0,https://auv.edu.vn/,,"VND 350m-400m ($15,000) ($15,000)",0,"AUV's campus is located in Da Nang City, overlooking the sea and is a short walk from the beach. The campus features academic buildings, a student center, an international library, modern computer labs, and SMART board classrooms. Student life is supported by the Student Government Association (SGA), which organizes events and advocates for student needs.",,,0,0,admissions@auv.edu.vn,+84 (236) 396 7585,,https://auv.edu.vn/admission,0,1
2,398,An Giang University,704,"An Giang University is a public higher education institution established in 1999 in Long Xuyen City, An Giang Province, Vietnam. It is a multidisciplinary university focusing on fields relevant to the Mekong Delta's economy and environment, such as agriculture, economics, education, and technology. The university is affiliated with Vietnam National University, Ho Chi Minh City.",an-giang-university,0,https://www.agu.edu.vn/en,,VND 8m-12m ($350-500),0,"The university has a rural campus located in Long Xuyen City and features facilities including a library, laboratories, and on-campus dormitories that can accommodate over 1620 students. An Giang University also hosts various student organizations and clubs, and an electronic newspaper is produced by and for the student body.",10706,,0,0,webmaster@agu.edu.vn,+84 296 6256565 ext 1900,,,0,1
3,450,Arts University Bournemouth,704,"Arts University Bournemouth (AUB) is a public university in Poole, England, specializing in art, architecture, film, performance, and design. Established in 1880, it is known for its creative focus and strong industry connections. AUB has been recognized for its teaching quality and research excellence.",arts-university-bournemouth,0,https://www.aub.ac.uk/,QS 1001-1500,VND 400m-500m ($19950) ($17200-23700),0,"AUB's award-winning campus is located between Bournemouth and Poole, offering a creative environment with industry-standard facilities, studios, and an on-site gallery. Students can engage in over 30 clubs and societies run by the Students' Union. Accommodation is available on campus and in Bournemouth town centre.",3740,,0,0,admissions@aub.ac.uk,+441202363228,,https://www.aub.ac.uk/study/how-to-apply/,0,1
4,462,Bournemouth University,704,,bournemouth-university,0,,,,0,,,,0,0,,,,,0,1
5,463,British University Vietnam,704,"British University Vietnam (BUV) is a private international university established in 2009, with its main campus located in Ecopark, Hung Yen, Vietnam. It is recognized as the first university in Vietnam to offer full British degrees and is the first QS 5-star university in Vietnam.",british-university-vietnam,0,https://www.buv.edu.vn/,,VND 204.5m-320m ($8000-$12600),0,"The main Ecopark Campus is a 6.5-hectare site, with Phase 1 completed in 2018 and Phase 2 completed in 2025, capable of accommodating up to 5,500 students. Facilities include specialized teaching areas, a primary library, academic support offices, labs, creative studios, learning kitchens, gyms, a sports complex, and a football pitch. Student life is supported by over 30 student clubs and societies, and premium student accommodation is available at Swanlake Residences R2, located 2km from campus.",2142,,0,0,info@buv.edu.vn,+84 (24) 7770 0909,,https://www.buv.edu.vn/academics/admissions/,0,1
6,415,Can Tho University,704,"Can Tho University is a public research university established in 1966 and is a multidisciplinary institution located in Can Tho, Vietnam. It is recognized as a leading university in the Mekong Delta region and is known for its agricultural research. The university aims to be a leading higher education institution in Vietnam and a recognized top university in the Asia-Pacific region for training and research.",can-tho-university,0,https://www.ctu.edu.vn/,QS 1201-1400,,0,"Can Tho University has an urban campus in Can Tho city, with a branch campus in Hau Giang. The university provides various academic and non-academic facilities and services, including a library, housing, sports facilities, and financial aid. Dormitories are available with a capacity for 8,780 students, offering amenities like internet, canteens, and recreational areas. The campus life is enriched by intercultural activities due to the presence of both local and international students.",45000,,0,0,dhct@ctu.edu.vn,+84292 3832 663,,https://www.ctu.edu.vn/en/admissions,0,1
7,404,Da Nang University of Economics,704,"Da Nang University of Economics (DUE) is a public university in Da Nang, Vietnam, established in 1975 as the Faculty of Economics. It is a member institution of the University of Da Nang and is recognized as one of Vietnam's leading centers for economic education and research. The university specializes in economics, business administration, and related disciplines, offering undergraduate, master's, and doctoral programs.",da-nang-university-of-economics,0,https://due.udn.vn/,,,0,"The main campus is located at 71 Ngũ Hành Sơn Street in Da Nang. The university provides facilities to support student development, including dormitories and sports amenities. It aims to foster a humanistic and innovative academic environment.",15500,,0,0,kinhtedanang@due.edu.vn,+84 236 383-6169,,,0,1
8,403,Da Nang University of Science and Technology,,"Da Nang University of Science and Technology (DUT) is a prominent public university of technology in Vietnam, established in 1975 as a member of the University of Da Nang system. It is recognized as one of the most important technological institutions in the country, focusing on engineering and technology education and research. The university is located in Da Nang, Vietnam.",da-nang-university-of-technology,,https://dut.udn.vn/en,,,,"The university is part of the University of Da Nang system and is located in Da Nang, Vietnam. Information regarding specific campus facilities, student organizations, or accommodation is not readily available in the provided search results, though general university life aspects are mentioned for the broader University of Da Nang.",,,,,,,,,,
9,416,Dalat University,704,"Dalat University is a public, multidisciplinary higher education institution founded in 1957 in Dalat, Vietnam. It offers a wide range of undergraduate, graduate, and doctoral programs and is known for its focus on research relevant to the Central Highlands region. The university is recognized by the Ministry of Education and Training of Vietnam.",dalat-university,0,https://dlu.edu.vn/,,,0,"The university campus is situated on a hilly area of 40 hectares, surrounded by pine trees and offering scenic views, providing a peaceful atmosphere for learning. It features various buildings, an electronic library, and a multipurpose sports center. Student life includes participation in academic, cultural, and sports clubs, as well as university-organized cultural events and workshops.",26000,,0,0,qldtsaudaihoc@dlu.edu.vn,+84 2633 822246,,https://dlu.edu.vn/tuyen-sinh,0,1
10,439,Dong Nai University,704,"Dong Nai University is a public university located in Bien Hoa City, Dong Nai Province, Vietnam, established in 1976. It operates under the People's Committee of Dong Nai province and is supervised by the Ministry of Education and Training. The university offers undergraduate education to both domestic and international students, with a focus on contributing to regional development through education and training in various fields.",dong-nai-university,0,https://www.dnpu.edu.vn/,,,0,"The university's campus is located in an urban setting in Bien Hoa City. Dong Nai University provides academic support through resources like libraries and computer labs. It also fosters a dynamic campus life with various student organizations and activities, offering opportunities for students to engage with peers from diverse academic backgrounds.",,,0,0,,+84 989 773 579,,,0,1
