,university_name,university_slug,country,country_code,program_name,degree_level,field_of_study,faculty_or_school,description,duration,study_mode,language,tuition_fee,currency,intake,application_deadline,admission_requirements,career_outcomes,accreditation,is_higher_education_program,program_url,source_url,confidence_score
1,An Giang University,an-giang-university,Vietnam,VN,Programs and Courses Graduate programs Undergraduate programs,bachelor,,,,,,,,,,,,,,1,,https://www.agu.edu.vn/en/news-and-events/training-program-quality-assurement,0.8
2,An Giang University,an-giang-university,Vietnam,VN,Undergraduate programs,bachelor,,,,,,,,,,,,,,1,https://aao.agu.edu.vn/?q=content/ct%C4%91t-tr%C3%ACnh-%C4%91%E1%BB%99-%C4%91%E1%BA%A1i-h%E1%BB%8Dc,https://www.agu.edu.vn/en/news-and-events/training-program-quality-assurement,0.8
3,Da Nang University of Technology,da-nang-university-of-technology,Vietnam,VN,"OBJECTIVES AND LEARNING OUTCOMES OF BACHELOR, ARCHITECT TRAINING PROGRAM",bachelor,,,University of Science and Technology - The University of Danang,,,7480201,,,,,,,,1,https://en.dut.udn.vn/objectives-and-learning-outcomes-of-bachelor-architect-training-program-84.html,https://en.dut.udn.vn/objectives-and-learning-outcomes-of-bachelor-architect-training-program-84.html,0.8
4,Da Nang University of Technology,da-nang-university-of-technology,Vietnam,VN,OBJECTIVES AND LEARNING OUTCOMES OF MASTER TRAINING PROGRAM,master,,,OBJECTIVES AND LEARNING OUTCOMES OF MASTER TRAINING PROGRAM,,,,,,,,,,,1,https://en.dut.udn.vn/objectives-and-learning-outcomes-of-master-training-program-196.html,https://en.dut.udn.vn/news/post-gradute-program-102,0.8
5,Da Nang University of Technology,da-nang-university-of-technology,Vietnam,VN,Threshold of entry quality assurance for PhD Degree,phd,,,Threshold of entry quality assurance for PhD Degree,,,,,,,,,,,1,https://en.dut.udn.vn/threshold-of-entry-quality-assurance-for-phd-degree-188.html,https://en.dut.udn.vn/threshold-of-entry-quality-assurance-for-undergraduate-program-186.html,0.8
6,Da Nang University of Technology,da-nang-university-of-technology,Vietnam,VN,Threshold of entry quality assurance for master's degree,master,,,Threshold of entry quality assurance for master's degree,,,,,,,,,,,1,https://en.dut.udn.vn/threshold-of-entry-quality-assurance-for-master-s-degree-187.html,https://en.dut.udn.vn/threshold-of-entry-quality-assurance-for-undergraduate-program-186.html,0.8
7,Da Nang University of Technology,da-nang-university-of-technology,Vietnam,VN,Threshold of entry quality assurance for undergraduate program,bachelor,,,Threshold of entry quality assurance for undergraduate program,,,,,,,,,,,1,https://en.dut.udn.vn/threshold-of-entry-quality-assurance-for-undergraduate-program-186.html,https://en.dut.udn.vn/threshold-of-entry-quality-assurance-for-undergraduate-program-186.html,0.8
8,Da Nang University of Technology,da-nang-university-of-technology,Vietnam,VN,Undergraduate Programs,bachelor,,,Undergraduate Programs,,,,,,,,,,,1,https://en.dut.udn.vn/news/undergraduate-programs-12,https://en.dut.udn.vn/objectives-and-learning-outcomes-of-bachelor-architect-training-program-84.html,0.8
9,University of Economics and Law,university-of-economics-and-law,Vietnam,VN,Academics Undergraduate programs Postgraduate programs Joint-Program,bachelor,,,,,,,,,,,,,,1,,https://www.uel.edu.vn/en/training-en,0.8
10,University of Economics and Law,university-of-economics-and-law,Vietnam,VN,Academics Undergraduate programs Read more Postgraduate programs Read more Joint-Program Read more,bachelor,,,,,,,,,,,,,,1,,https://www.uel.edu.vn/en/training-en,0.8
11,University of Economics and Law,university-of-economics-and-law,Vietnam,VN,Postgraduate programs,master,,,"I am delighted by the university's contributions. I also strongly hope that with the sound research orientation the university has charted, it will continue to achieve even greater success, proving itself worthy of being a high-quality education and research center.",,,,,,,,,,,1,https://www.uel.edu.vn/,https://www.uel.edu.vn/en/training-en,0.8
12,University of Economics and Law,university-of-economics-and-law,Vietnam,VN,Undergraduate programs,bachelor,,,"I am delighted by the university's contributions. I also strongly hope that with the sound research orientation the university has charted, it will continue to achieve even greater success, proving itself worthy of being a high-quality education and research center.",,,,,,,,,,,1,https://www.uel.edu.vn/en,https://www.uel.edu.vn/en/training-en,0.8
13,VNU University of Science,vnu-university-of-science,Vietnam,VN,Admission > < Back to Admission Overview Undergraduate Graduate Exchange,bachelor,,,,,,,,,,,,,,1,,https://english.hus.vnu.edu.vn/announcement/research-exchange-program-at-the-korea-institute-of-science-and-technology-kist-june-2-2025-142089,0.8
14,VNU University of Science,vnu-university-of-science,Vietnam,VN,Admission ▼ Overview Undergraduate Graduate Exchange,bachelor,,,,,,,,,,,,,,1,,https://english.hus.vnu.edu.vn/announcement/research-exchange-program-at-the-korea-institute-of-science-and-technology-kist-june-2-2025-142089,0.8
15,VNU University of Science,vnu-university-of-science,Vietnam,VN,Current master's or undergraduate students enrolled at VNU-HUS throughout the entire exchange period;,master,,,,,,,,,,,,,,1,,https://english.hus.vnu.edu.vn/announcement/research-exchange-program-at-the-korea-institute-of-science-and-technology-kist-june-2-2025-142089,0.8
16,VNU University of Science,vnu-university-of-science,Vietnam,VN,"Monthly financial support: 1,200,000 KRW for undergraduate students and 1,400,000 KRW for master’s students (before tax);",master,,,,,,,,,,,,,,1,,https://english.hus.vnu.edu.vn/announcement/research-exchange-program-at-the-korea-institute-of-science-and-technology-kist-june-2-2025-142089,0.8
17,VNU University of Science,vnu-university-of-science,Vietnam,VN,Undergraduate,bachelor,,,Undergraduate,,,,,,,,,,,1,https://english.hus.vnu.edu.vn/education/undergraduate,https://english.hus.vnu.edu.vn/education/undergraduate,0.8
18,VNU University of Science,vnu-university-of-science,Vietnam,VN,education > < Back to education Overview Academic Calendar Undergraduate Graduate,bachelor,,,,,,,,,,,,,,1,,https://english.hus.vnu.edu.vn/announcement/research-exchange-program-at-the-korea-institute-of-science-and-technology-kist-june-2-2025-142089,0.8
19,VNU University of Science,vnu-university-of-science,Vietnam,VN,education ▼ Overview Academic Calendar Undergraduate Graduate,bachelor,,,,,,,,,,,,,,1,,https://english.hus.vnu.edu.vn/announcement/research-exchange-program-at-the-korea-institute-of-science-and-technology-kist-june-2-2025-142089,0.8
