id,name,location,description,slug,sponsored,website,global_rank,financials,student_loan_available,campus_student_life,number_of_students,student_to_faculty_ratio,international_student_ratio,housing_availability,admissions_contact,admissions_phone,contact_person,admissions_page_link,immigration_support,university_campuses
,"VTM NSS College, India",356,"VTM NSS College is a distinguished government-aided arts and science institution affiliated to the University of Kerala, proudly established in 1964 by the Nair Service Society. Nestled in the serene locale of Dhanuvachapuram, Neyyattinkara, it offers a rich bouquet of programmes including BA, B.Sc., B.Com, MA, and M.Com — shaping well-rounded graduates for over six decades.",vtm-nss-college-dhanuvachapuram,0,https://vtmnsscollege.ac.in,,INR 5k-15k ($60-180),0,"Spread across a lush 19-acre campus, VTM NSS College boasts a well-stocked library, fully equipped science labs, open playgrounds, vibrant NSS and NCC units, a bustling canteen, and seamless Wi-Fi connectivity — making every day on campus an enriching experience.",1783,24,0,0,vtmnsscollege@yahoo.in,+914712232240,,https://vtmnsscollege.ac.in/contact/,0,1
,"Iqbal College Peringamala, India",356,"Iqbal College Peringamala is a celebrated minority arts, science and commerce institution affiliated to the University of Kerala, founded in 1964 with a proud legacy of empowering students from the Muslim community. Nestled in the scenic hills of Peringammala, Thiruvananthapuram, it offers BA, B.Sc., B.Com, MA, and M.Com programmes that blend academic excellence with cultural identity.",iqbal-college-peringamala,0,https://www.iqbalcollege.edu.in,,INR 5k-20k ($60-240),0,"Iqbal College's vibrant campus is home to modern science labs, a rich library, active NSS and NCC wings, a dedicated Women's Study Cell, and a lively canteen — fostering a community where learning thrives alongside leadership and social responsibility.",800,20,0,0,iqbalcollege@rediffmail.com,+914722845537,,https://www.iqbalcollege.edu.in,0,1
,"Mannaniya College Pangode, India",356,"Mannaniya College Pangode is a progressive arts and science institution affiliated to the University of Kerala, managed with dedication by the Muslim Educational Society. Situated in Pangode, Thiruvananthapuram, the college offers BA, B.Sc., and B.Com programmes designed to nurture intellectual growth and career readiness.",mannaniya-college-pangode,0,https://www.mannaniyacollege.ac.in,,INR 5k-15k ($60-180),0,"Mannaniya College's inviting campus features modern library facilities, fully equipped labs, vibrant sports grounds, and a friendly canteen atmosphere — creating a holistic environment where students grow academically, physically, and socially.",600,20,0,0,,,,https://www.mannaniyacollege.ac.in,0,1
,"Loyola College of Social Sciences, India",356,"Loyola College of Social Sciences is a prestigious Jesuit institution affiliated to the University of Kerala, dedicated to transforming lives through postgraduate education in the social sciences. Located in the heart of Thiruvananthapuram, it carries the Jesuit tradition of academic rigour, social justice, and holistic formation.",loyola-college-social-sciences-thiruvananthapuram,0,http://www.loyolacollegekerala.edu.in,,INR 10k-30k ($120-360),0,"Loyola College's well-appointed campus offers a rich library, thoughtfully designed seminar halls, comfortable hostel facilities, and sports amenities — fostering a tight-knit intellectual community that inspires critical thinking and compassionate leadership.",400,15,0,1,,,,http://www.loyolacollegekerala.edu.in,0,1
,"College of Fine Arts Thiruvananthapuram, India",356,"College of Fine Arts Thiruvananthapuram is a premier government institution dedicated to nurturing creative brilliance, offering undergraduate and postgraduate programmes in visual arts under the Government of Kerala. Located in the cultural capital of the state, it has shaped generations of celebrated artists and creative professionals.",college-of-fine-arts-thiruvananthapuram,0,,,INR 5k-10k ($60-120),0,"The college's inspiring campus features spacious art studios, a prestigious gallery for student exhibitions, specialised workshops, an extensive library of art resources, and a calendar packed with cultural events — breathing life and colour into every corner of academic life.",300,15,0,0,,,,https://dce.kerala.gov.in,0,1
,"IIITM-K Digital University Kerala, India",356,"Digital University Kerala — formerly IIITM-K, established in 2003 and rebranded in 2020 — is a cutting-edge autonomous public university at the forefront of India's digital revolution. Located within the iconic Technopark campus in Thiruvananthapuram, it offers B.Tech, M.Tech, MBA, MCA, and PhD programmes across digital, AI, and IT domains, producing the next generation of tech innovators.",digital-university-kerala-thiruvananthapuram,0,https://duk.ac.in,,INR 60k-1.5L ($720-1800),0,"Situated within India's first IT park, Digital University Kerala's campus pulses with innovation — offering state-of-the-art research labs, a comprehensive library, a dynamic innovation hub, high-speed Wi-Fi, and a vibrant canteen, all within an ecosystem connecting students directly to the global technology industry.",1200,12,0,0,admissions@duk.ac.in,+914712700800,,https://duk.ac.in/admissions,0,1
,"Govt. Homoeopathic Medical College Thiruvananthapuram, India",356,"Govt. Homoeopathic Medical College Thiruvananthapuram is one of Kerala's oldest and most respected homoeopathic institutions, established in 1951 under the Government of Kerala. Offering BHMS and MD (Homoeopathy) programmes, it has spent over seven decades producing skilled homoeopathic practitioners who serve communities across the country.",govt-homoeopathic-medical-college-thiruvananthapuram,0,https://trivandrum.nic.in/en/public-utility/govt-homoeopathic-medical-college-thiruvananthapuram/,,INR 20k-50k ($240-600),0,"The college's hospital-integrated campus provides students with immersive clinical training in dedicated OPD and IPD wards, alongside well-equipped research labs, a comprehensive medical library, and comfortable hostel accommodation — ensuring a deeply practical and enriching healthcare education.",500,12,0,1,,,,https://dme.kerala.gov.in,0,1
,"Nightingale College of Nursing Thiruvananthapuram, India",356,"Nightingale College of Nursing is a dedicated nursing institution affiliated to the Kerala University of Health Sciences, committed to producing compassionate and skilled nursing professionals. Located in Thiruvananthapuram, it offers B.Sc. Nursing and GNM programmes that combine strong clinical training with deep human values.",nightingale-college-of-nursing-thiruvananthapuram,0,http://www.nightingalecollegeofnursing.com/,,INR 60k-1L ($720-1200),0,"The college's purpose-built campus features modern clinical simulation labs, a well-resourced library, comfortable hostel facilities, and seamless hospital attachment for real-world training — preparing every graduate to lead with skill and empathy in healthcare settings.",300,15,0,1,,,,http://www.nightingalecollegeofnursing.com/,0,1
,"Mar Gregorios College of Law Thiruvananthapuram, India",356,"Mar Gregorios College of Law is a distinguished legal education institution affiliated to the Kerala Law University, established by the Mar Gregorios Trust. Located in Thiruvananthapuram, it offers B.A. LL.B and LL.B programmes that cultivate sharp legal minds, ethical practitioners, and future leaders of the judiciary and bar.",mar-gregorios-college-of-law-thiruvananthapuram,0,https://mgcl.ac.in,,INR 20k-50k ($240-600),0,"Mar Gregorios College of Law's campus is designed for legal excellence — featuring a professional moot court hall, an extensive law library brimming with case reporters and legal texts, well-furnished seminar rooms for stimulating debate, and a welcoming canteen that fuels both minds and morale.",350,18,0,0,,,,https://mgcl.ac.in,0,1
,"Govt. Training College Thycaud Thiruvananthapuram, India",356,"Govt. Training College Thycaud is a prestigious government teacher training institution affiliated to the University of Kerala, shaping the educators who build Kerala's future. Situated in Thycaud, Thiruvananthapuram, it offers B.Ed. and M.Ed. programmes renowned for their rigorous pedagogy and transformative learning approach.",govt-training-college-thycaud-thiruvananthapuram,0,https://gctetvpm.ac.in,,INR 5k-15k ($60-180),0,"The college's well-maintained campus offers a thoughtfully curated library, bright seminar halls for intellectual discourse, a lush sports ground for physical well-being, and fully equipped teaching labs — creating the ideal environment for aspiring teachers to discover their calling.",300,15,0,0,,,,https://gctetvpm.ac.in,0,1
