,id,name,location,description,slug,sponsored,website,global_rank,financials,student_loan_available,campus_student_life,number_of_students,student_to_faculty_ratio,international_student_ratio,housing_availability,admissions_contact,admissions_phone,contact_person,admissions_page_link,immigration_support,university_campuses
1,376,American University of Vietnam,,"The American University in Vietnam is a private, higher-educational institution based in Da Nang City, Vietnam, offering American style college education.",american-university-of-vietnam,,https://www.auv.edu.vn,,,,,,,,,,,,,,
2,311,An Giang University,,"VNU-HCM An Giang University is a Vietnamese public university based in the city of Long Xuyen in An Giang Province . With over 10,000 enrolled students annually, it is one of the major educational and research institutions in the Mekong Delta region of Vietnam. [ 1 ]",an-giang-university,,http://www.agu.edu.vn,,,,,10003,,,,webmaster@agu.edu.vn,+842966256565,,,,
3,373,Arts University Bournemouth,,"Arts University Bournemouth is a public university in Poole , England, specialising in art , architecture , film , performance , and design . Established in 1880, the university has been ranked Silver and Gold by the Teaching Excellence Framework in 2017, and was rated Outstanding by Ofsted , having retained this highest ranking since 2018. [ 8 ] [ 9 ] [ 10 ] The Bournemouth Film School , a division of the university, was established in 1963 and is a full member of CILECT .",arts-university-bournemouth,,https://aub.ac.uk,,,,,3740,,,,,,,,,
4,374,Bournemouth University,,"Bournemouth University is a public university in Bournemouth , England, with its main campus situated in neighbouring Poole . The university was founded in 1992; however, the origins of its predecessor date back to the early 1900s.",bournemouth-university,,https://bournemouth.ac.uk,,,,,16860,,,,,,,,,
5,369,British University Vietnam,,"British University Vietnam is a private international university in Vietnam with main campus located in Ecopark , Hung Yen .",british-university-vietnam,,https://www.buv.edu.vn,,,,,2142,,,,,,,,,
6,330,Can Tho University,,"Can Tho University is a public research university in Can Tho , Vietnam . Established in 1966, it is a multidisciplinary university and a leading university in the Mekong Delta . [ 1 ] Can Tho University is a leading agricultural research center in Vietnam. Can Tho University has nine colleges and three research institutes. [ 2 ] Its goal is to be one of the leading higher education institutions in Vietnam and to be recognised as one of the top universities in the Asia-Pacific region in training and research by 2022. [ 3 ]",can-tho-university,,http://www.ctu.edu.vn,,,,,,,,,,,,,,
7,318,Da Nang University of Economics,,"The University of Economics - The University of Da Nang , or Da Nang University of Economics , is a university located in Da Nang , Vietnam . It was formerly known as University of Economics and Business Administration . This university is a member of regional university system — University of Da Nang .",da-nang-university-of-economics,,https://due.udn.vn,,,,,,,,,,,,,,
8,317,Da Nang University of Technology,,"Da Nang University of Science and Technology , or UDN University of Science and Technology , is one of the most important universities of technology in Vietnam . [ 1 ]",da-nang-university-of-technology,,https://en.dut.udn.vn,,,,,,,,,tchc.dhbk@dut.udn.vn,+8402363842308,,,,
9,331,Dalat University,,"Dalat University or the University of Dalat is a university in the city of Đà Lạt , capital of Lâm Đồng Province , Vietnam .",dalat-university,,http://www.dlu.edu.vn,,,,,,,,,,,,,,
10,353,Dong Nai University,,"Dong Nai University is a public university located in Biên Hòa , Đồng Nai Province , Vietnam . Dong Nai University is directly under the People's Committee of Dong Nai province and is supervised by the Ministry of Education and Training. The university provides undergraduate education for the domestic students as well as the international students from neighboring countries such as Laos and Cambodia.",dong-nai-university,,http://www.dnpu.edu.vn,,,,,,,,,,,,,,
